지표,primary만 비교,Q3 적응형 집합 비교
완전 일치 (건수),560,314
완전 일치 (비율),85.4%,47.9%
부분 일치 (건수),N/A (이진 지표라 없음),325
부분 일치 (비율),N/A,49.5%
불일치 (건수),96,17
불일치 (비율),14.6%,2.6%
평균 점수 (0~1),0.854,0.832
